22:27:22
1000
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
7.99|251:240|202:167
8|251:240|202:167
8.01|250:246|203:173
8.02|250:246|203:173
8.03|250:246|203:173
8.04|250:246|203:173
8.05|249:253|201:180
8.06|249:253|201:180
8.07|249:259|200:186
8.08|249:259|200:186
8.09|248:266|199:193
8.1|248:266|199:193
8.11|249:270|199:200
8.12|249:270|199:200
8.13|249:270|199:200
8.14|249:270|199:200
8.15|249:270|199:200
8.16|251:282|198:212
8.17|251:282|198:212
8.18|251:282|198:212
8.19|251:282|198:212
8.2|250:290|194:217
8.21|250:290|194:217
8.22|253:296|191:222
8.23|253:296|191:222
8.24|256:300|185:228
8.25|256:300|185:228
8.26|259:305|180:234
8.27|259:305|180:234
8.28|259:305|180:234
8.29|259:305|180:234
8.3|259:305|180:234
8.31|269:309|170:245
8.32|269:309|170:245
8.33|269:309|170:246
8.34|269:309|170:246
8.35|269:309|170:246
8.36|275:310|165:252
8.37|275:310|165:252
8.38|280:312|161:257
8.39|280:312|161:257
8.4|280:312|161:257
8.41|284:314|156:263
8.42|284:314|156:263
8.43|291:316|152:269
8.44|291:316|152:269
8.45|291:316|152:269
8.46|295:320|147:274
8.47|295:320|147:274
8.48|300:323|143:279
8.49|300:323|143:279
8.5|300:323|143:279
8.51|300:323|143:279
8.52|305:325|138:284
8.53|305:325|138:284
8.54|308:330|136:290
8.55|308:330|136:290
8.56|308:330|136:290
8.57|311:334|133:296
8.58|311:334|133:296
8.59|314:338|130:301
8.6|314:338|130:301
8.61|314:338|130:301
8.62|314:338|130:301
8.63|314:338|130:301
8.64|320:344|130:314
8.65|320:344|130:314
8.66|320:344|127:315
8.67|320:344|127:315
8.68|322:351|127:324
8.69|322:351|127:324
8.7|323:357|126:332
8.71|323:357|126:332
8.72|326:362|124:340
8.73|326:362|124:340
8.74|327:370|124:349
8.75|327:370|124:349
8.76|327:370|124:349
8.77|329:375|124:358
8.78|329:375|124:358
8.79|329:382|122:367
8.8|329:382|122:367
8.81|329:382|122:367
8.82|329:382|122:367
8.83|328:389|122:376
8.84|328:389|122:376
8.85|326:397|121:384
8.86|326:397|121:384
8.87|329:399|121:392
8.88|329:399|121:392
8.89|330:402|120:400
8.9|330:402|120:400
8.91|330:402|120:400
8.92|330:402|120:400
8.93|327:414|124:412
8.94|327:414|124:412
8.95|327:414|121:414
8.96|327:414|121:414
8.97|326:418|121:420
8.98|326:418|121:420
8.99|327:420|123:425
9|327:420|123:425
9.01|324:425|123:429
9.02|324:425|123:429
9.03|324:427|126:432
9.04|324:427|126:432
9.05|324:427|126:432
9.06|324:427|126:432
9.07|322:431|127:435
9.08|322:431|127:435
9.09|321:434|129:438
9.1|321:434|129:438
9.11|321:435|130:440
9.12|321:435|130:440
9.13|319:437|130:442
9.14|319:437|130:442
9.15|319:438|132:444
9.16|319:438|132:444
9.17|318:438|132:445
9.18|318:438|132:445
9.19|318:438|132:445
9.2|318:438|132:445
9.21|317:438|132:445
9.22|317:438|132:445
9.23|317:438|131:445
9.24|317:438|131:445
9.25|317:436|131:443
9.26|317:436|131:443
9.27|316:435|131:441
9.28|316:435|131:441
9.29|316:435|131:441
9.3|316:435|131:441
9.31|316:435|131:441
9.32|317:429|131:438
9.33|317:429|131:438
9.34|317:429|131:438
9.35|316:424|132:432
9.36|316:424|132:432
9.37|316:424|132:432
9.38|316:424|132:432
9.39|315:407|129:417
9.4|315:407|129:417
9.41|315:407|129:417
9.42|314:398|131:407
9.43|314:398|131:407
9.44|314:398|131:406
9.45|314:398|131:406
9.46|314:398|131:406
9.47|308:380|131:406
