19:18:33
4.47  -  x: 513, y: 437  |  x: 513, y: 437
4.48  -  x: 513, y: 437  |  x: 513, y: 437
4.49  -  x: 513, y: 437  |  x: 513, y: 437
4.5  -  x: 514, y: 437  |  x: 514, y: 437
4.51  -  x: 514, y: 437  |  x: 514, y: 437
4.52  -  x: 514, y: 437  |  x: 514, y: 437
4.53  -  x: 514, y: 437  |  x: 514, y: 437
4.54  -  x: 515, y: 438  |  x: 515, y: 438
4.55  -  x: 515, y: 438  |  x: 515, y: 438
4.56  -  x: 512, y: 436  |  x: 512, y: 436
4.57  -  x: 512, y: 436  |  x: 512, y: 436
4.58  -  x: 512, y: 436  |  x: 512, y: 436
4.59  -  x: 513, y: 435  |  x: 513, y: 435
4.6  -  x: 513, y: 435  |  x: 513, y: 435
4.61  -  x: 513, y: 435  |  x: 513, y: 435
4.62  -  x: 511, y: 436  |  x: 511, y: 436
4.63  -  x: 511, y: 436  |  x: 511, y: 436
4.64  -  x: 511, y: 436  |  x: 511, y: 436
4.65  -  x: 514, y: 431  |  x: 514, y: 431
4.66  -  x: 514, y: 431  |  x: 514, y: 431
4.67  -  x: 514, y: 431  |  x: 514, y: 431
4.68  -  x: 508, y: 433  |  x: 508, y: 433
4.69  -  x: 508, y: 433  |  x: 508, y: 433
4.7  -  x: 508, y: 433  |  x: 508, y: 433
4.71  -  x: 507, y: 434  |  x: 507, y: 434
4.72  -  x: 507, y: 434  |  x: 507, y: 434
4.73  -  x: 507, y: 434  |  x: 507, y: 434
4.74  -  x: 506, y: 441  |  x: 506, y: 441
4.75  -  x: 506, y: 441  |  x: 506, y: 441
4.76  -  x: 506, y: 441  |  x: 506, y: 441
4.77  -  x: 507, y: 437  |  x: 507, y: 437
4.78  -  x: 507, y: 437  |  x: 507, y: 437
4.79  -  x: 507, y: 437  |  x: 507, y: 437
4.8  -  x: 507, y: 437  |  x: 507, y: 437
4.81  -  x: 507, y: 437  |  x: 507, y: 437
4.82  -  x: 507, y: 437  |  x: 507, y: 437
4.83  -  x: 506, y: 437  |  x: 506, y: 437
4.84  -  x: 506, y: 437  |  x: 506, y: 437
4.85  -  x: 506, y: 437  |  x: 506, y: 437
4.86  -  x: 510, y: 440  |  x: 510, y: 440
4.87  -  x: 510, y: 440  |  x: 510, y: 440
4.88  -  x: 510, y: 440  |  x: 510, y: 440
4.89  -  x: 507, y: 438  |  x: 507, y: 438
4.9  -  x: 507, y: 438  |  x: 507, y: 438
