19:49:49
Time [s]    Obiekt 1       Obiekt 2
2.95  -  x: 519, y: 442  |  x: 519, y: 442
2.96  -  x: 520, y: 440  |  x: 520, y: 440
2.97  -  x: 520, y: 440  |  x: 520, y: 440
2.98  -  x: 520, y: 440  |  x: 520, y: 440
2.99  -  x: 520, y: 441  |  x: 520, y: 441
3  -  x: 520, y: 441  |  x: 520, y: 441
3.01  -  x: 520, y: 441  |  x: 520, y: 441
3.02  -  x: 520, y: 439  |  x: 520, y: 439
3.03  -  x: 520, y: 439  |  x: 520, y: 439
3.04  -  x: 520, y: 439  |  x: 520, y: 439
3.05  -  x: 520, y: 439  |  x: 520, y: 439
3.06  -  x: 520, y: 439  |  x: 520, y: 439
3.07  -  x: 520, y: 439  |  x: 520, y: 439
3.08  -  x: 519, y: 440  |  x: 519, y: 440
3.09  -  x: 519, y: 440  |  x: 519, y: 440
3.1  -  x: 519, y: 440  |  x: 519, y: 440
3.11  -  x: 521, y: 440  |  x: 521, y: 440
3.12  -  x: 521, y: 440  |  x: 521, y: 440
3.13  -  x: 521, y: 440  |  x: 521, y: 440
3.14  -  x: 521, y: 440  |  x: 521, y: 440
3.15  -  x: 521, y: 440  |  x: 521, y: 440
3.16  -  x: 521, y: 440  |  x: 521, y: 440
3.17  -  x: 519, y: 439  |  x: 519, y: 439
3.18  -  x: 519, y: 439  |  x: 519, y: 439
3.19  -  x: 519, y: 439  |  x: 519, y: 439
3.2  -  x: 520, y: 440  |  x: 520, y: 440
3.21  -  x: 520, y: 440  |  x: 520, y: 440
3.22  -  x: 520, y: 440  |  x: 520, y: 440
3.23  -  x: 520, y: 442  |  x: 520, y: 442
3.24  -  x: 520, y: 442  |  x: 520, y: 442
3.25  -  x: 520, y: 442  |  x: 520, y: 442
3.26  -  x: 521, y: 440  |  x: 521, y: 440
3.27  -  x: 521, y: 440  |  x: 521, y: 440
3.28  -  x: 521, y: 440  |  x: 521, y: 440
3.29  -  x: 521, y: 440  |  x: 521, y: 440
3.3  -  x: 521, y: 440  |  x: 521, y: 440
3.31  -  x: 521, y: 440  |  x: 521, y: 440
3.32  -  x: 520, y: 440  |  x: 520, y: 440
3.33  -  x: 520, y: 440  |  x: 520, y: 440
3.34  -  x: 520, y: 440  |  x: 520, y: 440
3.35  -  x: 521, y: 440  |  x: 521, y: 440
3.36  -  x: 521, y: 440  |  x: 521, y: 440
3.37  -  x: 521, y: 440  |  x: 521, y: 440
3.38  -  x: 521, y: 440  |  x: 521, y: 440
3.39  -  x: 521, y: 440  |  x: 521, y: 440
3.4  -  x: 521, y: 440  |  x: 521, y: 440
3.41  -  x: 521, y: 440  |  x: 521, y: 440
3.42  -  x: 521, y: 440  |  x: 521, y: 440
3.43  -  x: 521, y: 440  |  x: 521, y: 440
3.44  -  x: 519, y: 439  |  x: 519, y: 439
3.45  -  x: 519, y: 439  |  x: 519, y: 439
3.46  -  x: 519, y: 439  |  x: 519, y: 439
3.47  -  x: 520, y: 440  |  x: 520, y: 440
3.48  -  x: 520, y: 440  |  x: 520, y: 440
3.49  -  x: 520, y: 440  |  x: 520, y: 440
3.5  -  x: 520, y: 441  |  x: 520, y: 441
3.51  -  x: 520, y: 441  |  x: 520, y: 441
3.52  -  x: 520, y: 441  |  x: 520, y: 441
3.53  -  x: 520, y: 441  |  x: 520, y: 441
3.54  -  x: 520, y: 441  |  x: 520, y: 441
3.55  -  x: 520, y: 441  |  x: 520, y: 441
3.56  -  x: 519, y: 440  |  x: 519, y: 440
3.57  -  x: 519, y: 440  |  x: 519, y: 440
3.58  -  x: 519, y: 440  |  x: 519, y: 440
3.59  -  x: 518, y: 441  |  x: 518, y: 441
3.6  -  x: 518, y: 441  |  x: 518, y: 441
3.61  -  x: 518, y: 441  |  x: 518, y: 441
3.62  -  x: 518, y: 441  |  x: 518, y: 441
3.63  -  x: 518, y: 441  |  x: 518, y: 441
3.64  -  x: 518, y: 441  |  x: 518, y: 441
3.65  -  x: 518, y: 441  |  x: 518, y: 441
3.66  -  x: 518, y: 441  |  x: 518, y: 441
3.67  -  x: 518, y: 441  |  x: 518, y: 441
3.68  -  x: 518, y: 438  |  x: 518, y: 438
3.69  -  x: 518, y: 438  |  x: 518, y: 438
3.7  -  x: 518, y: 438  |  x: 518, y: 438
3.71  -  x: 518, y: 438  |  x: 518, y: 438
3.72  -  x: 518, y: 438  |  x: 518, y: 438
3.73  -  x: 518, y: 438  |  x: 518, y: 438
3.74  -  x: 519, y: 439  |  x: 519, y: 439
3.75  -  x: 519, y: 439  |  x: 519, y: 439
3.76  -  x: 519, y: 439  |  x: 519, y: 439
3.77  -  x: 519, y: 439  |  x: 519, y: 439
3.78  -  x: 519, y: 439  |  x: 519, y: 439
3.79  -  x: 519, y: 439  |  x: 519, y: 439
3.8  -  x: 517, y: 439  |  x: 517, y: 439
3.81  -  x: 517, y: 439  |  x: 517, y: 439
3.82  -  x: 517, y: 439  |  x: 517, y: 439
3.83  -  x: 518, y: 439  |  x: 518, y: 439
3.84  -  x: 518, y: 439  |  x: 518, y: 439
3.85  -  x: 518, y: 439  |  x: 518, y: 439
3.86  -  x: 518, y: 439  |  x: 518, y: 439
3.87  -  x: 518, y: 439  |  x: 518, y: 439
3.88  -  x: 518, y: 439  |  x: 518, y: 439
3.89  -  x: 519, y: 438  |  x: 519, y: 438
3.9  -  x: 519, y: 438  |  x: 519, y: 438
3.91  -  x: 519, y: 438  |  x: 519, y: 438
3.92  -  x: 516, y: 437  |  x: 516, y: 437
3.93  -  x: 516, y: 437  |  x: 516, y: 437
3.94  -  x: 516, y: 437  |  x: 516, y: 437
3.95  -  x: 519, y: 436  |  x: 519, y: 436
3.96  -  x: 519, y: 436  |  x: 519, y: 436
3.97  -  x: 519, y: 436  |  x: 519, y: 436
3.98  -  x: 517, y: 439  |  x: 517, y: 439
3.99  -  x: 517, y: 439  |  x: 517, y: 439
4  -  x: 517, y: 439  |  x: 517, y: 439
4.01  -  x: 517, y: 439  |  x: 517, y: 439
4.02  -  x: 517, y: 439  |  x: 517, y: 439
4.03  -  x: 517, y: 439  |  x: 517, y: 439
4.04  -  x: 519, y: 438  |  x: 519, y: 438
4.05  -  x: 519, y: 438  |  x: 519, y: 438
4.06  -  x: 519, y: 438  |  x: 519, y: 438
4.07  -  x: 520, y: 438  |  x: 520, y: 438
4.08  -  x: 520, y: 438  |  x: 520, y: 438
4.09  -  x: 520, y: 438  |  x: 520, y: 438
4.1  -  x: 519, y: 438  |  x: 519, y: 438
4.11  -  x: 519, y: 438  |  x: 519, y: 438
4.12  -  x: 520, y: 438  |  x: 520, y: 438
4.13  -  x: 520, y: 438  |  x: 520, y: 438
4.14  -  x: 520, y: 438  |  x: 520, y: 438
4.15  -  x: 519, y: 438  |  x: 519, y: 438
4.16  -  x: 519, y: 438  |  x: 519, y: 438
4.17  -  x: 519, y: 438  |  x: 519, y: 438
4.18  -  x: 518, y: 438  |  x: 518, y: 438
4.19  -  x: 518, y: 438  |  x: 518, y: 438
4.2  -  x: 518, y: 438  |  x: 518, y: 438
4.21  -  x: 518, y: 438  |  x: 518, y: 438
4.22  -  x: 518, y: 440  |  x: 518, y: 440
4.23  -  x: 518, y: 440  |  x: 518, y: 440
4.24  -  x: 519, y: 438  |  x: 519, y: 438
4.25  -  x: 519, y: 438  |  x: 519, y: 438
4.26  -  x: 519, y: 438  |  x: 519, y: 438
4.27  -  x: 519, y: 440  |  x: 519, y: 440
4.28  -  x: 519, y: 440  |  x: 519, y: 440
4.29  -  x: 519, y: 440  |  x: 519, y: 440
4.3  -  x: 520, y: 438  |  x: 520, y: 438
4.31  -  x: 520, y: 438  |  x: 520, y: 438
4.32  -  x: 520, y: 438  |  x: 520, y: 438
4.33  -  x: 520, y: 438  |  x: 520, y: 438
4.34  -  x: 520, y: 438  |  x: 520, y: 438
4.35  -  x: 520, y: 438  |  x: 520, y: 438
4.36  -  x: 519, y: 439  |  x: 519, y: 439
4.37  -  x: 519, y: 439  |  x: 519, y: 439
4.38  -  x: 519, y: 439  |  x: 519, y: 439
4.39  -  x: 519, y: 437  |  x: 519, y: 437
4.4  -  x: 519, y: 437  |  x: 519, y: 437
4.41  -  x: 519, y: 437  |  x: 519, y: 437
4.42  -  x: 519, y: 437  |  x: 519, y: 437
4.43  -  x: 519, y: 437  |  x: 519, y: 437
4.44  -  x: 519, y: 437  |  x: 519, y: 437
4.45  -  x: 516, y: 438  |  x: 516, y: 438
4.46  -  x: 516, y: 438  |  x: 516, y: 438
4.47  -  x: 516, y: 438  |  x: 516, y: 438
4.48  -  x: 518, y: 440  |  x: 518, y: 440
4.49  -  x: 518, y: 440  |  x: 518, y: 440
4.5  -  x: 518, y: 440  |  x: 518, y: 440
4.51  -  x: 520, y: 439  |  x: 520, y: 439
4.52  -  x: 520, y: 439  |  x: 520, y: 439
4.53  -  x: 520, y: 439  |  x: 520, y: 439
4.54  -  x: 519, y: 439  |  x: 519, y: 439
4.55  -  x: 519, y: 439  |  x: 519, y: 439
4.56  -  x: 519, y: 439  |  x: 519, y: 439
4.57  -  x: 519, y: 439  |  x: 519, y: 439
4.58  -  x: 519, y: 439  |  x: 519, y: 439
4.59  -  x: 519, y: 439  |  x: 519, y: 439
4.6  -  x: 518, y: 438  |  x: 518, y: 438
4.61  -  x: 518, y: 438  |  x: 518, y: 438
4.62  -  x: 518, y: 438  |  x: 518, y: 438
4.63  -  x: 517, y: 437  |  x: 517, y: 437
4.64  -  x: 517, y: 437  |  x: 517, y: 437
4.65  -  x: 517, y: 437  |  x: 517, y: 437
4.66  -  x: 517, y: 437  |  x: 517, y: 437
4.67  -  x: 517, y: 437  |  x: 517, y: 437
4.68  -  x: 517, y: 437  |  x: 517, y: 437
4.69  -  x: 518, y: 439  |  x: 518, y: 439
4.7  -  x: 518, y: 439  |  x: 518, y: 439
4.71  -  x: 518, y: 439  |  x: 518, y: 439
4.72  -  x: 518, y: 437  |  x: 518, y: 437
4.73  -  x: 518, y: 437  |  x: 518, y: 437
4.74  -  x: 518, y: 437  |  x: 518, y: 437
4.75  -  x: 518, y: 437  |  x: 518, y: 437
4.76  -  x: 518, y: 437  |  x: 518, y: 437
4.77  -  x: 518, y: 437  |  x: 518, y: 437
4.78  -  x: 517, y: 440  |  x: 517, y: 440
4.79  -  x: 517, y: 440  |  x: 517, y: 440
4.8  -  x: 517, y: 440  |  x: 517, y: 440
4.81  -  x: 517, y: 440  |  x: 517, y: 440
4.82  -  x: 517, y: 440  |  x: 517, y: 440
4.83  -  x: 517, y: 440  |  x: 517, y: 440
4.84  -  x: 518, y: 438  |  x: 518, y: 438
4.85  -  x: 518, y: 438  |  x: 518, y: 438
4.86  -  x: 518, y: 438  |  x: 518, y: 438
4.87  -  x: 520, y: 439  |  x: 520, y: 439
4.88  -  x: 520, y: 439  |  x: 520, y: 439
4.89  -  x: 520, y: 439  |  x: 520, y: 439
4.9  -  x: 520, y: 439  |  x: 520, y: 439
4.91  -  x: 520, y: 439  |  x: 520, y: 439
4.92  -  x: 519, y: 438  |  x: 519, y: 438
4.93  -  x: 519, y: 438  |  x: 519, y: 438
4.94  -  x: 519, y: 438  |  x: 519, y: 438
