20:37:41
100
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
7.02|291:209|489:316
7.03|291:209|489:316
7.04|291:209|489:314
7.05|291:209|489:314
7.06|296:207|489:314
7.07|296:207|498:316
7.08|296:207|498:316
7.09|302:209|498:316
7.1|302:209|503:308
7.11|302:209|503:308
7.12|305:209|503:308
7.13|305:209|510:312
7.14|305:209|510:312
7.15|313:208|510:312
7.16|313:208|508:305
7.17|313:208|508:305
7.18|313:208|508:305
7.19|313:208|508:305
7.2|313:208|508:305
7.21|317:207|508:305
7.22|317:207|517:309
7.23|317:207|517:309
7.24|327:207|517:309
7.25|327:207|523:312
7.26|327:207|523:312
7.27|327:207|523:312
7.28|327:207|523:312
7.29|323:208|523:312
7.3|323:208|526:316
7.31|323:208|526:316
7.32|324:208|526:316
7.33|324:208|530:314
7.34|324:208|530:314
7.35|324:208|530:314
7.36|324:208|530:314
7.37|324:208|530:314
7.38|328:207|530:314
7.39|328:207|537:310
7.4|328:207|537:310
7.41|322:207|537:310
7.42|322:207|539:304
7.43|322:207|539:304
7.44|331:209|539:304
7.45|331:209|539:304
7.46|331:209|539:304
7.47|332:208|539:304
7.48|332:208|539:304
7.49|332:208|539:304
7.5|336:210|539:304
7.51|336:210|560:351
7.52|336:210|560:351
7.53|344:213|566:353
7.54|344:213|566:353
7.55|344:213|566:353
7.56|344:213|575:357
7.57|344:213|575:357
7.58|344:213|575:357
7.59|344:213|575:357
7.6|344:213|575:357
7.61|353:213|575:357
7.62|353:213|583:361
7.63|353:213|583:361
7.64|361:212|583:361
7.65|361:212|592:361
7.66|361:212|592:361
7.67|361:212|592:361
7.68|361:212|592:361
7.69|361:212|592:361
7.7|363:211|592:361
7.71|363:211|600:357
7.72|363:211|600:357
7.73|368:210|600:357
7.74|368:210|608:355
7.75|372:210|608:355
7.76|372:210|608:355
7.77|372:210|607:350
7.78|377:211|607:350
7.79|377:211|615:346
7.8|377:211|615:346
7.81|392:209|615:346
7.82|392:209|615:346
7.83|392:209|623:349
7.84|394:209|623:349
7.85|394:209|625:334
7.86|394:209|625:334
7.87|408:211|625:334
7.88|408:211|632:337
7.89|408:211|632:337
7.9|408:211|632:337
7.91|408:211|633:338
7.92|408:211|633:338
7.93|396:207|633:338
7.94|396:207|634:333
7.95|396:207|634:333
7.96|402:206|634:333
7.97|402:206|634:325
7.98|402:206|634:325
7.99|402:206|634:325
8|402:206|632:319
8.01|402:206|632:319
8.02|410:208|632:319
8.03|410:208|632:311
8.04|410:208|632:311
8.05|412:207|632:311
8.06|412:207|634:305
8.07|412:207|634:305
8.08|416:208|634:305
8.09|416:208|635:303
8.1|416:208|635:303
8.11|416:208|635:303
8.12|416:208|635:303
8.13|409:208|635:303
